PARAMETERS,LOCATIONS,STATE,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,"KRS DAM, BALAMURIKSHETRA",KARNATAKA,0.17,0.19,0.12,0.15,0.15,0.06,0.1,0.1,0.1,0.09,0.5,0.32
2,"KRS DAM, BALAMURIKSHETRA",KARNATAKA,1,1,1,2,2,2,3,2.6,2.2,1.8,2.6,1.5
3,"KRS DAM, BALAMURIKSHETRA",KARNATAKA,8.9,8.9,8.9,8.7,8.9,8.9,8.7,8.5,8.5,8.5,8.4,8.3
4,"KRS DAM, BALAMURIKSHETRA",KARNATAKA,30,30,28,28,29,30,30,28,30,27,28,28
5,"KRS DAM, BALAMURIKSHETRA",KARNATAKA,6.8,7.9,8.1,7.5,7.1,7.4,7.3,8,6.5,7.4,7.7,7.7
6,"KRS DAM, BALAMURIKSHETRA",KARNATAKA,7,1600,1600,1100,470,840,1100,630,270,700,940,790
7,"KRS DAM, BALAMURIKSHETRA",KARNATAKA,26,25,24,25,24,26,23,23,18,24,22,24
8,"KRS DAM, BALAMURIKSHETRA",KARNATAKA,1600,1600,1600,1600,2200,1500,2400,1700,340,1200,1500,1300
9,"KRS DAM, BALAMURIKSHETRA",KARNATAKA,1,1,1,1,1,1,1,1.3,1,1,1.2,1.2
10,"KRS DAM, BALAMURIKSHETRA",KARNATAKA,319,380,322,285,359,300,396,312,84,298,327,295
11,"KRS DAM, BALAMURIKSHETRA",KARNATAKA,89,81,122,100,80,79,114,126,40,100,125,118
12,"KRS DAM, BALAMURIKSHETRA",KARNATAKA,9.5,8.5,7.8,8,8,7.3,7.8,7.8,7.5,10.2,7.4,7.4
13,"KRS DAM, BALAMURIKSHETRA",KARNATAKA,6.6,6.3,6,6.3,5.5,6.2,5.5,5.2,6.6,6.4,6,6.9
14,"KRS DAM, BALAMURIKSHETRA",KARNATAKA,1601,1600,1600,1600,580,380,490,630,110,320,390,340
15,"KRS DAM, BALAMURIKSHETRA",KARNATAKA,4,1600,1600,170,110,210,270,120,40,91,120,130
16,"KRS DAM, BALAMURIKSHETRA",KARNATAKA,1.68,1.43,0.8,0.49,0.49,0.29,0.4,0.4,0.1,1.1,0.81,1.7
